,date,rates
MDL,2022-06-10,20.050439
MGA,2022-06-10,4222.915596
MKD,2022-06-10,61.202706
MMK,2022-06-10,1948.225288
MNT,2022-06-10,3235.048407
MOP,2022-06-10,8.507309
MRO,2022-06-10,375.486927
MUR,2022-06-10,46.379322
MVR,2022-06-10,16.681702
MWK,2022-06-10,1072.298348
MXN,2022-06-10,21.006457
MYR,2022-06-10,4.6299969999999995
MZN,2022-06-10,67.135809
NAD,2022-06-10,16.681701
NGN,2022-06-10,436.627744
NIO,2022-06-10,37.63325
NOK,2022-06-10,10.208836
NPR,2022-06-10,130.978414
NZD,2022-06-10,1.655155
OMR,2022-06-10,0.404914
PAB,2022-06-10,1.052202
PEN,2022-06-10,3.974172
PGK,2022-06-10,3.7075810000000002
PHP,2022-06-10,55.761943
PKR,2022-06-10,212.460852
PLN,2022-06-10,4.608342
PYG,2022-06-10,7218.900982
QAR,2022-06-10,3.829588
RON,2022-06-10,4.942445
RSD,2022-06-10,117.433282
RUB,2022-06-10,60.608987
RWF,2022-06-10,1084.389939
SAR,2022-06-10,3.94346
SBD,2022-06-10,8.533863
SCR,2022-06-10,14.043255
SDG,2022-06-10,480.143546
SEK,2022-06-10,10.557762
SGD,2022-06-10,1.459814
SHP,2022-06-10,1.448732
SLL,2022-06-10,13852.003743
SOS,2022-06-10,612.139002
SRD,2022-06-10,22.898443
STD,2022-06-10,21769.817997
SVC,2022-06-10,9.20689
SYP,2022-06-10,2642.556802
SZL,2022-06-10,16.681693
THB,2022-06-10,36.510639
TJS,2022-06-10,11.574726
TMT,2022-06-10,3.681246
TND,2022-06-10,3.228457
TOP,2022-06-10,2.444716
TRY,2022-06-10,18.001898
TTD,2022-06-10,7.151357
TWD,2022-06-10,31.198075
TZS,2022-06-10,2451.710292
UAH,2022-06-10,31.089767
UGX,2022-06-10,3882.843089
USD,2022-06-10,1.051785
UYU,2022-06-10,41.568577
UZS,2022-06-10,11593.299736
VEF,2022-06-10,224903338194.05725
VND,2022-06-10,24382.470958
VUV,2022-06-10,120.182866
WST,2022-06-10,2.712913
XAF,2022-06-10,651.561538
XAG,2022-06-10,0.048062
XAU,2022-06-10,0.000562
XCD,2022-06-10,2.842501
XDR,2022-06-10,0.781528
XOF,2022-06-10,648.429004
XPF,2022-06-10,119.577776
YER,2022-06-10,263.209483
ZAR,2022-06-10,16.697926
ZMK,2022-06-10,9467.327461
ZMW,2022-06-10,17.809159
ZWL,2022-06-10,338.674217
AED,2022-06-09,3.900412
AFN,2022-06-09,94.5081
ALL,2022-06-09,119.940173
AMD,2022-06-09,453.2661
ANG,2022-06-09,1.91382
AOA,2022-06-09,460.125416
ARS,2022-06-09,129.107415
AUD,2022-06-09,1.496071
AWG,2022-06-09,1.9113959999999999
AZN,2022-06-09,1.788144
BAM,2022-06-09,1.938192
BBD,2022-06-09,2.144009
BDT,2022-06-09,98.700101
BGN,2022-06-09,1.956585
BHD,2022-06-09,0.400331
BIF,2022-06-09,2155.629657
BMD,2022-06-09,1.061887
BND,2022-06-09,1.460113
BOB,2022-06-09,7.300266
BRL,2022-06-09,5.208344
BSD,2022-06-09,1.061847
BTC,2022-06-09,3.5295150000000004e-05
BTN,2022-06-09,82.557801
BWP,2022-06-09,12.65656
BYN,2022-06-09,3.584381
BYR,2022-06-09,20812.975998
BZD,2022-06-09,2.140442
CAD,2022-06-09,1.348925
CDF,2022-06-09,2129.082337
CHF,2022-06-09,1.041284
CLF,2022-06-09,0.031807
CLP,2022-06-09,877.654031
CNY,2022-06-09,7.106462
COP,2022-06-09,4088.018909
CRC,2022-06-09,724.315345
CUC,2022-06-09,1.061887
CUP,2022-06-09,28.139993
CVE,2022-06-09,110.303442
CZK,2022-06-09,24.694597
DJF,2022-06-09,188.71892
DKK,2022-06-09,7.43911
DOP,2022-06-09,58.563537
DZD,2022-06-09,155.330926
EGP,2022-06-09,19.865244
ERN,2022-06-09,15.928298999999999
ETB,2022-06-09,54.882291
EUR,2022-06-09,1.0
FJD,2022-06-09,2.3201140000000002
FKP,2022-06-09,0.8689749999999999
GBP,2022-06-09,0.849989
GEL,2022-06-09,3.122231
GGP,2022-06-09,0.8689749999999999
GHS,2022-06-09,8.415417
GIP,2022-06-09,0.8689749999999999
GMD,2022-06-09,57.452312
GNF,2022-06-09,9371.148794
GTQ,2022-06-09,8.197753
GYD,2022-06-09,222.16037
HKD,2022-06-09,8.334694
HNL,2022-06-09,26.090848
HRK,2022-06-09,7.519752
HTG,2022-06-09,118.488949
HUF,2022-06-09,395.587246
IDR,2022-06-09,15516.126701
ILS,2022-06-09,3.580904
IMP,2022-06-09,0.8689749999999999
INR,2022-06-09,82.634894
IQD,2022-06-09,1549.823391
IRR,2022-06-09,44917.800396
ISK,2022-06-09,137.694517
JEP,2022-06-09,0.8689749999999999
JMD,2022-06-09,163.194953
JOD,2022-06-09,0.752873
JPY,2022-06-09,142.729758
KES,2022-06-09,124.34831
KGS,2022-06-09,84.430177
KHR,2022-06-09,4311.259453
KMF,2022-06-09,2707.757245
KPW,2022-06-09,955.698113
KRW,2022-06-09,1342.617578
KWD,2022-06-09,0.32530899999999996
KYD,2022-06-09,0.884864
KZT,2022-06-09,463.313177
LAK,2022-06-09,15296.475867
LBP,2022-06-09,1610.692475
LKR,2022-06-09,382.270331
LRD,2022-06-09,161.406633
LSL,2022-06-09,16.363575
LTL,2022-06-09,3.135475
LVL,2022-06-09,0.642324
LYD,2022-06-09,5.070479
MAD,2022-06-09,10.494095
MDL,2022-06-09,20.223163
MGA,2022-06-09,4242.236955
MKD,2022-06-09,61.615379
MMK,2022-06-09,1966.027929
MNT,2022-06-09,3266.119582
MOP,2022-06-09,8.584342
MRO,2022-06-09,379.093309
MUR,2022-06-09,46.723587
MVR,2022-06-09,16.395351
MWK,2022-06-09,1077.232874
MXN,2022-06-09,20.898256
MYR,2022-06-09,4.665398
MZN,2022-06-09,67.78053
NAD,2022-06-09,16.363685
NGN,2022-06-09,440.821132
