,date,rates
BSD,2022-04-01,1.105555
BTC,2022-04-01,2.3871624e-05
BTN,2022-04-01,83.976793
BWP,2022-04-01,12.686056
BYN,2022-04-01,3.600983
BYR,2022-04-01,21654.967516
BZD,2022-04-01,2.228491
CAD,2022-04-01,1.3831600000000002
CDF,2022-04-01,2220.739415
CHF,2022-04-01,1.022701
CLF,2022-04-01,0.031352
CLP,2022-04-01,865.094254
CNY,2022-04-01,7.030246
COP,2022-04-01,4147.997979
CRC,2022-04-01,724.579271
CUC,2022-04-01,1.104845
CUP,2022-04-01,29.2784
CVE,2022-04-01,110.761175
CZK,2022-04-01,24.36571
DJF,2022-04-01,196.353538
DKK,2022-04-01,7.436758
DOP,2022-04-01,60.789022
DZD,2022-04-01,158.313952
EGP,2022-04-01,20.211292
ERN,2022-04-01,16.572685
ETB,2022-04-01,56.358591
EUR,2022-04-01,1.0
FJD,2022-04-01,2.325744
FKP,2022-04-01,0.847371
GBP,2022-04-01,0.842499
GEL,2022-04-01,3.419541
GGP,2022-04-01,0.847371
GHS,2022-04-01,8.314005
GIP,2022-04-01,0.847371
GMD,2022-04-01,59.555418
GNF,2022-04-01,9811.026492
GTQ,2022-04-01,8.496474
GYD,2022-04-01,231.300352
HKD,2022-04-01,8.655054
HNL,2022-04-01,26.925508999999998
HRK,2022-04-01,7.562339
HTG,2022-04-01,117.74128
HUF,2022-04-01,367.414646
IDR,2022-04-01,15878.22872
ILS,2022-04-01,3.538858
IMP,2022-04-01,0.847371
INR,2022-04-01,83.916981
IQD,2022-04-01,1613.074111
IRR,2022-04-01,46790.198058
ISK,2022-04-01,142.094578
JEP,2022-04-01,0.847371
JMD,2022-04-01,169.491392
JOD,2022-04-01,0.7833789999999999
JPY,2022-04-01,135.351325
KES,2022-04-01,127.171894
KGS,2022-04-01,90.067544
KHR,2022-04-01,4475.728622
KMF,2022-04-01,492.706178
KPW,2022-04-01,994.36114
KRW,2022-04-01,1347.657553
KWD,2022-04-01,0.33615
KYD,2022-04-01,0.921345
KZT,2022-04-01,525.791889
LAK,2022-04-01,12987.456669
LBP,2022-04-01,1672.736142
LKR,2022-04-01,328.856176
LRD,2022-04-01,168.655054
LSL,2022-04-01,16.208502
LTL,2022-04-01,3.262321
LVL,2022-04-01,0.6683100000000001
LYD,2022-04-01,5.126903
MAD,2022-04-01,10.744072
MDL,2022-04-01,20.254956
MGA,2022-04-01,4402.80883
MKD,2022-04-01,61.553175
MMK,2022-04-01,1965.877582
MNT,2022-04-01,3180.598534
MOP,2022-04-01,8.923155
MRO,2022-04-01,394.429575
MUR,2022-04-01,49.365598
MVR,2022-04-01,17.081326
MWK,2022-04-01,903.215148
MXN,2022-04-01,21.941679
MYR,2022-04-01,4.651955
MZN,2022-04-01,70.522691
NAD,2022-04-01,16.208497
NGN,2022-04-01,459.306697
NIO,2022-04-01,39.454441
NOK,2022-04-01,9.622656
NPR,2022-04-01,134.362788
NZD,2022-04-01,1.5941239999999999
OMR,2022-04-01,0.42581399999999997
PAB,2022-04-01,1.105555
PEN,2022-04-01,4.113382
PGK,2022-04-01,3.88947
PHP,2022-04-01,56.933092
PKR,2022-04-01,203.126219
PLN,2022-04-01,4.63866
PYG,2022-04-01,7657.796527
QAR,2022-04-01,4.022784
RON,2022-04-01,4.948054
RSD,2022-04-01,117.89951
RUB,2022-04-01,94.740895
RWF,2022-04-01,1123.627651
SAR,2022-04-01,4.144232
SBD,2022-04-01,8.863616
SCR,2022-04-01,15.94026
SDG,2022-04-01,494.422327
SEK,2022-04-01,10.360814
SGD,2022-04-01,1.499058
SHP,2022-04-01,1.5218180000000001
SLL,2022-04-01,13142.134997
SOS,2022-04-01,645.230018
SRD,2022-04-01,22.899065
STD,2022-04-01,22868.066652
SVC,2022-04-01,9.673977
SYP,2022-04-01,2775.37172
SZL,2022-04-01,16.208489
THB,2022-04-01,37.026722
TJS,2022-04-01,14.339897
TMT,2022-04-01,3.866958
TND,2022-04-01,3.244972
TOP,2022-04-01,2.487062
TRY,2022-04-01,16.226314
TTD,2022-04-01,7.509919
TWD,2022-04-01,31.688845
TZS,2022-04-01,2564.346269
UAH,2022-04-01,32.505251
UGX,2022-04-01,3952.629936
USD,2022-04-01,1.104845
UYU,2022-04-01,45.311643
UZS,2022-04-01,12595.236578
VEF,2022-04-01,236249312177.02832
VND,2022-04-01,25233.561383
VUV,2022-04-01,126.081191
WST,2022-04-01,2.896955
XAF,2022-04-01,655.245488
XAG,2022-04-01,0.044854
XAU,2022-04-01,0.000574
XCD,2022-04-01,2.9859
XDR,2022-04-01,0.799632
XOF,2022-04-01,651.310273
