,date,rates
LKR,2022-04-20,358.159294
LKR,2022-04-24,363.137053
LKR,2022-04-22,361.563216
LKR,2022-04-21,364.981138
LKR,2022-04-25,364.273365
LKR,2022-04-26,367.690178
LKR,2022-04-23,362.756505
LRD,2022-04-25,162.42525
LRD,2022-04-26,161.648305
LRD,2022-04-22,163.961393
LRD,2022-04-21,164.68921
LRD,2022-04-24,164.133389
LRD,2022-04-20,164.858651
LRD,2022-04-23,163.961393
LSL,2022-04-24,16.90822
LSL,2022-04-22,16.890618
LSL,2022-04-20,16.361173
LSL,2022-04-23,16.890618
LSL,2022-04-25,16.820133
LSL,2022-04-21,15.970354
LSL,2022-04-26,16.651989
LTL,2022-04-21,3.199241
LTL,2022-04-20,3.20358
LTL,2022-04-26,3.143787
LTL,2022-04-25,3.163526
LTL,2022-04-23,3.188772
LTL,2022-04-22,3.188772
LTL,2022-04-24,3.192117
LVL,2022-04-22,0.653243
LVL,2022-04-20,0.656276
LVL,2022-04-23,0.653243
LVL,2022-04-21,0.655388
LVL,2022-04-25,0.648071
LVL,2022-04-24,0.653928
LVL,2022-04-26,0.644027
LYD,2022-04-25,5.083731
LYD,2022-04-20,5.115563
LYD,2022-04-26,5.014619
LYD,2022-04-22,5.086912
LYD,2022-04-24,5.106133
LYD,2022-04-21,5.13733
LYD,2022-04-23,5.100782
MAD,2022-04-22,10.638496
MAD,2022-04-23,10.625561
MAD,2022-04-21,10.655614
MAD,2022-04-25,10.636189
MAD,2022-04-26,10.488387
MAD,2022-04-20,10.629809
MAD,2022-04-24,10.636707
MDL,2022-04-22,19.923326
MDL,2022-04-26,19.673203
MDL,2022-04-20,20.057782
MDL,2022-04-24,20.010512
MDL,2022-04-25,19.747391
MDL,2022-04-21,20.155715
MDL,2022-04-23,19.989542
MGA,2022-04-22,4319.74615
MGA,2022-04-26,4258.806408
MGA,2022-04-25,4290.903546
MGA,2022-04-20,4339.805633
MGA,2022-04-24,4382.035567
MGA,2022-04-23,4377.443437
MGA,2022-04-21,4404.290788
MKD,2022-04-25,61.619409
MKD,2022-04-24,61.752054
MKD,2022-04-23,61.687341
MKD,2022-04-22,61.483
MKD,2022-04-21,61.599766
MKD,2022-04-26,61.466147
MKD,2022-04-20,61.593221
MMK,2022-04-20,2009.537007
MMK,2022-04-25,1983.681735
MMK,2022-04-23,2004.905857
MMK,2022-04-22,1998.310711
MMK,2022-04-24,2007.009091
MMK,2022-04-21,2017.201032
MMK,2022-04-26,1973.269574
MNT,2022-04-24,3237.654794
MNT,2022-04-21,3244.880509
MNT,2022-04-26,3188.635667
MNT,2022-04-23,3234.261912
MNT,2022-04-20,3249.280943
MNT,2022-04-22,3234.261912
MNT,2022-04-25,3208.656499
MOP,2022-04-25,8.659771
MOP,2022-04-21,8.803023
MOP,2022-04-20,8.767671
MOP,2022-04-22,8.722276
MOP,2022-04-24,8.760243
MOP,2022-04-26,8.613194
MOP,2022-04-23,8.751062
MRO,2022-04-26,380.098291
MRO,2022-04-22,385.537125
MRO,2022-04-25,382.484856
MRO,2022-04-23,385.537125
MRO,2022-04-21,386.802904
MRO,2022-04-24,385.94157
MRO,2022-04-20,387.327454
MUR,2022-04-25,45.957793
MUR,2022-04-23,46.333316
MUR,2022-04-22,46.364372
MUR,2022-04-21,46.64138
MUR,2022-04-24,46.38714
MUR,2022-04-26,46.003526
MUR,2022-04-20,46.648554
MVR,2022-04-22,16.685427
MVR,2022-04-24,16.702639
MVR,2022-04-20,16.762923
MVR,2022-04-23,16.685427
MVR,2022-04-25,16.552618
MVR,2022-04-26,16.449944
MVR,2022-04-21,16.761163
MWK,2022-04-26,868.796828
MWK,2022-04-20,882.612739
MWK,2022-04-21,889.725964
MWK,2022-04-24,885.571453
MWK,2022-04-25,869.432107
MWK,2022-04-23,884.643423
MWK,2022-04-22,881.228511
MXN,2022-04-23,21.865515
MXN,2022-04-24,21.888406
MXN,2022-04-21,21.873005
MXN,2022-04-20,21.686766
MXN,2022-04-26,21.659981
MXN,2022-04-25,21.673721
MXN,2022-04-22,21.865515
MYR,2022-04-23,4.670767
MYR,2022-04-21,4.649188
MYR,2022-04-26,4.604813
MYR,2022-04-25,4.668565
MYR,2022-04-22,4.670767
MYR,2022-04-20,4.645796
MYR,2022-04-24,4.67562
MZN,2022-04-21,69.15894
MZN,2022-04-22,68.932751
MZN,2022-04-24,69.004305
MZN,2022-04-23,68.932751
MZN,2022-04-20,69.25211
MZN,2022-04-25,68.386672
MZN,2022-04-26,67.960311
NAD,2022-04-23,16.890613
NAD,2022-04-25,16.686836
NAD,2022-04-22,16.890613
NAD,2022-04-21,16.674139
NAD,2022-04-26,16.652146
NAD,2022-04-24,16.907689
NAD,2022-04-20,16.360827
NGN,2022-04-25,444.17579
NGN,2022-04-22,448.800394
NGN,2022-04-21,450.273575
NGN,2022-04-26,442.361867
NGN,2022-04-20,450.791528
NGN,2022-04-24,449.270601
NGN,2022-04-23,448.800394
NIO,2022-04-22,38.629733
NIO,2022-04-25,38.302517
NIO,2022-04-26,38.084675
NIO,2022-04-20,38.765632
NIO,2022-04-24,38.81214
NIO,2022-04-21,39.008813
NIO,2022-04-23,38.771467
NOK,2022-04-20,9.56851
NOK,2022-04-26,9.832836
NOK,2022-04-22,9.677775
NOK,2022-04-25,9.771143
NOK,2022-04-24,9.671029
NOK,2022-04-23,9.682311
NOK,2022-04-21,9.638131
NPR,2022-04-22,131.847983
NPR,2022-04-20,132.765536
NPR,2022-04-23,132.283129
NPR,2022-04-25,131.294271
NPR,2022-04-21,132.734174
NPR,2022-04-26,130.617683
NPR,2022-04-24,132.421899
NZD,2022-04-23,1.624576
NZD,2022-04-26,1.6143429999999999
NZD,2022-04-21,1.611425
NZD,2022-04-24,1.63196
NZD,2022-04-20,1.5995819999999998
NZD,2022-04-25,1.618929
NZD,2022-04-22,1.6272989999999998
OMR,2022-04-22,0.41608799999999996
OMR,2022-04-26,0.409904
OMR,2022-04-23,0.415817
OMR,2022-04-20,0.41767699999999996
OMR,2022-04-25,0.41249
OMR,2022-04-21,0.417122
OMR,2022-04-24,0.416149
PAB,2022-04-23,1.08287
PAB,2022-04-25,1.071407
PAB,2022-04-22,1.079308
PAB,2022-04-26,1.065748
PAB,2022-04-21,1.089566
PAB,2022-04-24,1.084006
PAB,2022-04-20,1.085401
PEN,2022-04-25,4.036946
PEN,2022-04-21,4.046399
PEN,2022-04-23,4.047747
PEN,2022-04-26,4.011261
